Latitude,38.29527,
Longitude,109.014375,
Crew ID,CO150,
,,
Species,Pres.Abs,Census
Aristida purpurea,A,
Asclepias cryptoceras,A,
Astragalus lonchocarpus,A,
Bouteloua gracilis,A,
Cleome lutea,A,
Cleome serrulata,A,
Cymopterus bulbosus,A,
Cymopterus purpureus,A,
Elymus elymoides,A,
Eriogonum fusiforme,A,
Eriogonum shockleyi,A,
Helianthus annuus,A,
Hesperostipa comata,P,250
Heterotheca villosa,P,100
Krascheninnikovia lanata,P,50
Lomatium dissectum,A,
Lomatium grayi,A,
Lomatium triternatum,A,
Mentzelia albicaulis,A,
Packera multilobata,A,
Pascopyrum smithii,P,500
Phacelia crenulata,A,
Pleuraphis jamesii,A,
Sphaeralcea coccinea,P,300
Sporobolus airoides,A,
Sporobolus cryptandrus,P,25
Stanleya pinnata,A,
Vulpia octoflora,A,
