Latitude,38.408442,
Longitude,-108.004505,
Crew ID,CO150,
,,
Species,Pres.Abs,Census
Aristida purpurea,A,
Asclepias cryptoceras,A,
Astragalus lonchocarpus,A,
Bouteloua gracilis,P,750
Cleome lutea,A,
Cleome serrulata,A,
Cymopterus bulbosus,A,
Cymopterus purpureus,A,
Elymus elymoides,A,
Eriogonum fusiforme,A,
Eriogonum shockleyi,A,
Helianthus annuus,A,
Hesperostipa comata,A,
Heterotheca villosa,A,
Krascheninnikovia lanata,A,
Lomatium dissectum,A,
Lomatium grayi,A,
Lomatium triternatum,A,
Mentzelia albicaulis,A,
Packera multilobata,A,
Pascopyrum smithii,A,
Phacelia crenulata,A,
Pleuraphis jamesii,A,
Sphaeralcea coccinea,P,200
Sporobolus airoides,A,
Sporobolus cryptandrus,A,
Stanleya pinnata,A,
Vulpia octoflora,A,
